,bbb,eps
0,0,0
1,-5,-5
2,-5,-5
3,-10,-10
4,-15,-15
5,20,-20
6,15,15
7,15,15
8,15,15
9,15,50
10,15,45
11,15,40
12,20,40
13,15,35
14,20,35
15,25,35
16,20,35
17,25,35
18,30,35
19,35,35
20,35,35
21,35,35
22,70,35
23,70,30
24,70,30
25,105,30
26,100,30
27,135,65
28,170,100
29,170,100
30,165,95
31,165,95
32,165,90
33,165,85
34,160,85
35,160,85
36,160,85
37,160,85
38,160,85
39,160,85
40,195,85
41,195,90
42,195,125
43,195,125
44,195,125
45,195,125
46,195,160
47,195,155
48,195,155
49,195,155
50,195,155
51,190,155
52,190,155
53,190,155
54,225,150
55,225,150
56,225,150
57,220,150
58,220,155
59,220,155
60,225,155
61,225,190
62,230,190
63,230,190
64,225,185
65,260,220
66,260,220
67,260,220
68,295,220
69,295,220
70,330,215
71,365,215
72,360,215
73,365,215
74,365,215
75,365,215
76,370,220
77,370,220
78,370,220
79,370,220
80,370,220
81,370,220
82,370,220
83,370,255
84,370,255
85,370,260
86,405,295
87,405,300
88,405,305
89,405,305
90,405,305
91,405,305
92,405,305
93,405,340
94,405,340
95,405,340
96,410,340
97,410,340
98,410,340
99,410,340
100,410,340
101,410,345
102,410,345
103,415,350
104,415,350
105,415,355
106,415,355
107,415,355
108,415,355
109,415,355
110,410,355
111,410,355
112,410,355
113,410,355
114,410,355
115,410,355
116,410,355
117,410,355
118,410,360
119,445,360
120,445,360
121,445,360
122,445,365
123,445,400
124,450,400
125,450,400
126,450,400
127,450,400
128,450,400
129,450,400
130,450,400
131,450,435
132,450,435
133,450,435
134,450,435
135,445,470
136,445,470
137,440,465
138,440,465
139,440,500
140,440,500
141,475,500
142,475,500
143,475,500
144,475,500
145,475,500
146,475,495
147,475,495
148,475,495
149,475,495
150,475,500
151,475,500
152,475,500
153,475,535
154,475,570
155,475,570
156,475,570
157,475,570
158,475,570
159,475,605
160,475,605
161,480,605
162,480,605
163,480,605
164,480,605
165,485,610
166,490,615
167,490,615
168,495,615
169,495,615
170,495,615
171,495,615
172,500,620
173,500,620
174,500,620
175,500,620
176,500,620
177,495,620
178,495,620
179,500,625
180,500,660
181,500,660
182,500,660
183,535,660
184,535,660
185,535,665
186,535,665
187,535,665
188,535,665
189,535,665
190,535,665
191,535,665
192,535,670
193,530,670
194,530,670
195,530,670
196,530,670
197,530,670
198,530,670
199,530,670
200,530,670
201,530,665
202,530,665
203,530,665
204,530,670
205,530,670
206,530,670
207,535,670
208,535,670
209,570,670
210,570,670
211,570,705
212,570,705
213,570,705
214,570,705
215,565,700
216,565,700
217,565,700
218,565,700
219,565,700
220,565,700
221,565,700
222,570,705
223,570,705
224,570,705
225,570,740
226,570,740
227,605,735
228,610,735
229,610,735
230,610,735
231,615,740
232,615,740
233,615,740
234,615,740
235,650,740
236,650,740
237,655,740
238,655,740
239,655,740
240,655,740
241,660,745
242,660,745
243,660,745
244,660,745
245,660,745
246,695,745
247,695,745
248,695,745
249,695,745
250,695,745
251,695,745
252,695,745
253,695,745
